Financial Year,Savings,Term Deposits 1-3 yrs,Term Deposits 3-5 yrs,Term Deposits Above 5 yrs
2022-01-01,2.7,5.3,5.35,5.35
2021-01-01,2.7,5.0,5.05,5.05
2020-01-01,2.7,4.9,5.25,5.25
2019-01-01,3.0,5.0,5.7,5.7
2018-01-01,3.5,6.25,6.25,6.25
2017-01-01,3.5,6.4,6.25,6.25
2016-01-01,4.0,6.75,6.5,6.5
2015-01-01,4.0,7.25,7.0,7.0
2014-01-01,4.0,8.5,8.5,8.25
2013-01-01,4.0,8.75,8.75,8.5
2012-01-01,4.0,8.75,8.75,8.5
2011-01-01,4.0,9.0,9.0,8.5
2010-01-01,3.5,8.25,8.25,8.5
2009-01-01,3.5,6.0,6.5,7.0
2008-01-01,3.5,8.0,8.0,7.75
2007-01-01,3.5,8.0,8.0,8.5
2006-01-01,3.5,6.75,7.75,7.75
2005-01-01,3.5,6.0,6.25,6.5
2004-01-01,3.5,5.25,5.75,6.25
2003-01-01,3.5,4.0,5.25,5.25
2002-01-01,3.5,4.25,5.5,5.5
2001-01-01,4.0,7.5,8.0,8.0
2000-01-01,4.0,8.5,9.5,8.5
