,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
0,21.92,29.8,37.2,26.1,35.97,44.48,54.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2011.0,2009.0,2004.0,1993.0,1990.0,1983.0,1973.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1137279.0,1150759.0,1256053.0,1276942.0,1369581.0,1447819.0,1371980.0,1464394.0,1552348.0,1606304.0,1723386.0,1789232.0,1883243.0,1973197.0,2051442.0,2248950.0,2382703.0,2514549.0,2541123.0,2680438.0,2807779.0,2994747.0,3221584.0,3464798.0,3605116.0,3828072.0,4166694.0,4326736.0,4535456.0,4707984.0,5078049.0,5480380.0,5914614.0,6391375.0,6881007.0,7093403.0,7651078.0,8301235.0,8736329.0
